銘柄コード,銘柄名,終値,移動平均線乖離率25日,移動平均線乖離率75日,PER,PBR,経常成長率,EPS成長率,時価総額,決算発表予定日,経常利益1,経常利益2,経常利益3,EPS1,EPS2,EPS3
1757,クレアホールディングス,101円,-7.78%,48.01%,－,24.05,-56.12,-64.77,216億円,2020/8/14,-898,-394,－,-8.8,-3.1,－
1963,日揮ホールディングス,"1,222円",7.73%,9.77%,38.5,0.79,-13.97,5.81,"3,166億円",2020/8/12,"32,304","22,367","23,000",95.1,16.3,31.7
2146,ＵＴグループ,"3,085円",19.70%,40.71%,47.9,7.76,-25.06,-25.8,"1,245億円",2020/8/5,"8,166","8,113","4,100",123.1,111.7,64.4
2175,エス・エム・エス,"2,984円",17.89%,18.78%,54.3,12.66,3.96,6.67,"2,598億円",-,"5,979","6,355","6,459",48.5,54.7,55
2269,明治ホールディングス,"8,470円",0.07%,3.79%,17.7,2.18,5.53,6,"1兆2,932億円",2020/8/12,"99,709","103,324","111,000",426.6,464,479
2317,システナ,"1,690円",14.52%,13.16%,32.9,7.15,5.5,5.43,"1,905億円",-,"6,706","7,871","7,370",47,56.2,51.3
2375,ギグワークス,"1,814円",-1.14%,19.44%,22.2,3.55,21.51,32.77,132億円,-,613,801,900,46.7,67.4,81.7
2413,エムスリー,"5,740円",11.31%,26.65%,－,23.36,11.85,5.63,"3兆8,957億円",-,"30,942","34,610",－,30.2,31.9,－
2590,ＤｙＤｏ,"4,540円",-3.72%,-3.52%,－,0.84,-52.37,-53.89,752億円,2020/8/27,"5,998","2,857",－,234.2,108,－
2678,アスクル,"3,095円",-5.55%,-9.45%,35.1,3.01,38.4,591.57,"1,710億円",-,"4,418","8,656","7,000",8.5,110.8,88.2
2705,大戸屋ホールディングス,"2,816円",2.74%,18.08%,－,6.22,-222.89,-2185.53,204億円,2020/8/14,463,-569,－,7.6,-158.5,－
2925,ピックルス,"2,680円",-3.20%,7.69%,12.9,1.28,14.59,21.69,171億円,-,"1,561","1,973","2,028",143.9,201.7,208.2
2980,ＳＲＥホールディングス,"2,900円",-7.78%,48.01%,89.6,6.15,36.88,36.98,440億円,-,435,717,781,18.9,33.5,32.4
3092,ＺＯＺＯ,"2,984円",7.73%,9.77%,30.8,23.37,25.19,32.38,"8,676億円",-,"25,717","27,644","39,500",52.2,61.6,90.4
3159,丸善ＣＨＩ,"1,690円",19.70%,40.71%,－,0.89,5.87,-14.5,342億円,2020/9/11,"3,116","3,299",－,26.2,22.4,－
3182,オイシックス・ラ・大地,"1,814円",17.89%,18.78%,71.7,6.14,-20.69,-15.65,861億円,2020/8/14,"2,301","1,825",－,71.4,23.2,31.6
3333,あさひ,"5,740円",0.07%,3.79%,16.2,1.57,4.65,10.55,469億円,-,"4,027","4,248","4,410",90.2,98.1,110.2
3356,テリロジー,"3,095円",14.52%,13.16%,64.5,3.98,-2.4,-19.18,90.2億円,2020/8/13,229,288,200,13.4,13,8.4
3436,ＳＵＭＣＯ,"2,680円",-1.14%,19.44%,－,1.4,-41.84,-43.47,"4,368億円",2020/8/6,"83,068","48,310",－,199.7,112.9,－
3496,アズーム,"2,900円",11.31%,26.65%,49,6.4,31.87,26.78,58.2億円,-,150,94,189,90.8,38.5,81.3
3541,農業総合研究所,"2,784円",-3.72%,-3.52%,－,15.37,-208.78,-432.14,95.0億円,-,-47,20,-35,-1.4,0.2,-1.3
3542,ベガコーポレーション,"1,789円",-5.55%,-9.45%,28.1,7.78,532.44,1323.72,325億円,-,-256,146,"1,930",-23.4,3.9,111.7
3558,ロコンド,"3,985円",2.74%,18.08%,27.3,10.31,-1069.56,-305.41,331億円,-,-862,-77,"1,500",-42.5,-22.8,105.9
3565,アセンテック,452円,-3.20%,7.69%,75.1,14.83,15.17,13.71,263億円,2020/9/9,381,451,505,20.1,24.2,25.9
3612,ワールド,"3,135円",-,-,－,0.64,-92.19,-103.51,514億円,2020/8/5,"13,596","11,401","-7,780",354.7,241.3,-181.1
3622,ネットイヤーグループ,"2,887円",5.65%,22.70%,－,2.59,-485,-17.65,41.0億円,-,20,-77,－,-11.9,-9.8,－
3623,ビリングシステム,586円,-4.60%,-4.42%,105,5.53,-10.66,-305.7,104億円,2020/8/13,345,107,158,27.1,-3.8,15.1
3633,ＧＭＯペパボ,"3,965円",6.06%,12.10%,38.1,11.67,29.8,8.63,215億円,-,524,835,837,88.7,104.1,104
3649,ファインデックス,"2,082円",9.28%,19.31%,69,8.29,1.98,1.26,271億円,2020/8/13,593,746,583,15.4,19.5,14.8
3674,オークファン,"1,208円",0.01%,-4.51%,25.3,1.99,40,36.05,111億円,2020/8/14,423,672,814,22.7,32.5,41.9
